age,job,marital,education,default,balance,housing,loan,month,duration,campaign,previous,deposit,binary_deposit,binary_default,binary_housing,binary_loan
51,management,married,tertiary,no,10635,yes,no,5,5.6,1,0,no,0,0,1,0
35,blue-collar,single,secondary,no,12223,yes,yes,5,2.95,1,0,no,0,0,1,1
45,management,divorced,tertiary,no,24598,yes,no,5,5.22,3,0,no,0,0,1,0
37,technician,married,tertiary,no,8730,yes,no,5,2.48,1,0,no,0,0,1,0
39,technician,single,other,no,45248,yes,no,5,27.05,1,0,yes,1,0,1,0
40,services,single,tertiary,no,8823,yes,no,5,6.3,1,0,no,0,0,1,0
44,admin,married,secondary,no,58544,yes,no,5,2.4,2,0,no,0,0,1,0
34,entrepreneur,married,tertiary,no,10350,yes,no,5,3.12,3,0,no,0,0,1,0
34,admin,divorced,primary,no,9569,yes,no,5,0.72,2,0,no,0,0,1,0
55,retired,married,secondary,no,18722,yes,no,5,2.13,2,0,no,0,0,1,0
26,technician,single,secondary,no,24299,yes,no,5,11.73,1,0,no,0,0,1,0
59,management,divorced,primary,no,13308,yes,no,5,2.18,1,0,no,0,0,1,0
45,blue-collar,married,secondary,no,8680,yes,no,5,8.38,1,0,no,0,0,1,0
28,technician,single,secondary,no,26765,no,no,5,3.5,8,0,no,0,0,0,0
51,technician,married,secondary,no,12061,yes,no,5,5.53,1,0,no,0,0,1,0
49,management,married,tertiary,no,12482,yes,yes,5,0.77,3,0,no,0,0,1,1
44,services,married,secondary,no,29312,no,no,5,3.77,1,0,no,0,0,0,0
44,management,single,tertiary,no,9956,yes,no,5,3.23,2,0,no,0,0,1,0
48,blue-collar,married,primary,no,9004,no,no,5,2.63,3,0,no,0,0,0,0
45,management,married,tertiary,no,37378,yes,no,5,2.78,1,0,no,0,0,1,0
37,blue-collar,married,secondary,no,15801,yes,no,5,7.6,9,0,no,0,0,1,0
55,management,married,tertiary,no,23189,yes,no,5,1.28,1,0,no,0,0,1,0
49,blue-collar,married,primary,no,11317,yes,no,5,3.47,1,0,no,0,0,1,0
48,management,married,tertiary,no,20718,yes,no,5,2.08,1,0,no,0,0,1,0
48,blue-collar,single,secondary,no,8982,yes,no,5,10.47,1,0,no,0,0,1,0
53,services,married,secondary,no,10749,yes,no,5,3.68,1,0,no,0,0,1,0
32,technician,single,other,no,10600,no,no,5,8.08,2,0,no,0,0,0,0
48,technician,single,secondary,no,9131,yes,no,5,15.03,5,0,no,0,0,1,0
43,blue-collar,married,secondary,no,15740,yes,no,5,4.2,2,0,no,0,0,1,0
43,admin,single,secondary,no,56831,no,no,5,4.05,1,0,no,0,0,0,0
42,blue-collar,married,secondary,no,9359,yes,no,5,3.28,1,0,no,0,0,1,0
53,entrepreneur,married,tertiary,no,22370,yes,no,5,1.77,1,0,no,0,0,1,0
45,services,married,secondary,no,9077,yes,no,5,2.32,1,0,no,0,0,1,0
55,admin,married,secondary,no,9039,yes,no,5,3.12,6,0,no,0,0,1,0
39,management,divorced,tertiary,no,9541,no,no,5,13.58,1,0,no,0,0,0,0
47,management,divorced,tertiary,no,10399,yes,no,5,0.98,2,0,no,0,0,1,0
29,management,married,tertiary,no,10576,no,no,5,20.4,2,0,yes,1,0,0,0
46,self-employed,divorced,tertiary,no,8717,yes,no,5,5.72,5,0,no,0,0,1,0
60,services,married,secondary,no,8837,yes,no,5,2.4,4,0,no,0,0,1,0
32,self-employed,single,tertiary,no,12269,no,no,5,2.35,1,0,no,0,0,0,0
54,management,divorced,tertiary,no,29887,yes,no,5,14.42,1,0,no,0,0,1,0
42,management,single,tertiary,no,10561,no,no,5,4.05,2,0,no,0,0,0,0
60,admin,married,secondary,no,12210,yes,no,5,4.27,1,0,no,0,0,1,0
51,services,married,primary,no,8806,yes,no,5,2.18,1,0,no,0,0,1,0
30,blue-collar,married,secondary,no,12697,yes,yes,5,1.58,1,0,no,0,0,1,1
42,housemaid,married,primary,no,14752,no,no,5,1.78,2,0,no,0,0,0,0
31,blue-collar,married,secondary,no,9714,yes,no,5,3.03,2,0,no,0,0,1,0
45,management,married,other,no,9051,yes,no,5,2.07,63,0,no,0,0,1,0
39,services,married,secondary,no,9374,yes,no,5,4.55,1,0,no,0,0,1,0
36,blue-collar,married,other,no,17983,yes,no,5,1.67,1,0,no,0,0,1,0
56,entrepreneur,married,tertiary,no,8741,yes,no,5,5.3,3,0,no,0,0,1,0
32,technician,married,secondary,no,11697,yes,no,5,4.93,1,0,no,0,0,1,0
37,management,single,tertiary,no,23867,no,no,5,3.13,3,0,no,0,0,0,0
31,services,married,secondary,no,11512,yes,no,5,2.98,1,0,no,0,0,1,0
35,self-employed,married,tertiary,no,35368,yes,no,5,1.05,1,0,no,0,0,1,0
31,admin,married,secondary,no,8784,yes,no,5,1.05,2,0,no,0,0,1,0
37,blue-collar,single,secondary,no,13156,yes,no,5,4.0,1,0,no,0,0,1,0
35,entrepreneur,single,secondary,no,12961,yes,no,5,4.53,2,0,no,0,0,1,0
32,blue-collar,single,secondary,no,15341,no,no,5,12.3,3,0,no,0,0,0,0
33,management,married,tertiary,no,11149,yes,no,5,6.97,2,0,no,0,0,1,0
32,blue-collar,married,primary,no,29050,yes,yes,5,9.38,2,0,no,0,0,1,1
33,technician,single,tertiary,no,8874,no,yes,5,2.53,3,0,no,0,0,0,1
31,management,single,tertiary,no,24870,yes,no,5,10.57,2,0,no,0,0,1,0
43,technician,married,secondary,no,8541,yes,no,5,4.32,9,0,no,0,0,1,0
36,management,married,tertiary,no,8564,yes,no,5,2.08,1,0,no,0,0,1,0
35,technician,single,secondary,no,11423,yes,no,5,1.78,1,0,no,0,0,1,0
32,management,single,tertiary,no,11315,no,no,5,4.77,1,0,no,0,0,0,0
31,self-employed,single,tertiary,no,14692,yes,no,5,10.02,1,0,no,0,0,1,0
33,management,married,tertiary,no,17946,yes,no,5,4.27,1,0,no,0,0,1,0
33,management,married,other,no,18347,yes,no,5,6.92,1,0,no,0,0,1,0
36,technician,single,secondary,no,9068,yes,no,5,1.63,1,0,no,0,0,1,0
33,technician,married,tertiary,no,17455,yes,yes,5,5.72,4,0,no,0,0,1,1
30,blue-collar,married,primary,no,9194,yes,no,5,2.97,2,0,no,0,0,1,0
37,blue-collar,married,secondary,no,13849,yes,no,5,4.2,5,0,no,0,0,1,0
31,management,single,tertiary,no,9874,yes,no,5,20.37,5,0,no,0,0,1,0
40,services,single,secondary,no,19343,yes,no,5,2.8,4,0,no,0,0,1,0
33,management,married,tertiary,no,9725,yes,no,5,2.18,4,0,no,0,0,1,0
39,management,married,tertiary,no,21111,yes,no,5,11.58,4,0,no,0,0,1,0
32,unemployed,married,primary,no,9894,yes,no,5,1.97,4,0,no,0,0,1,0
38,management,single,tertiary,no,16957,yes,no,5,2.37,2,0,no,0,0,1,0
28,management,married,tertiary,no,13186,yes,no,5,7.77,2,0,no,0,0,1,0
31,management,married,tertiary,no,22867,yes,no,5,4.02,2,0,no,0,0,1,0
29,management,single,tertiary,no,10436,no,no,5,1.72,2,0,no,0,0,0,0
36,services,single,secondary,no,9713,yes,no,5,1.2,3,0,no,0,0,1,0
28,technician,single,secondary,no,10865,yes,no,5,5.83,3,0,no,0,0,1,0
55,management,married,tertiary,no,10065,no,no,5,0.83,3,0,no,0,0,0,0
29,management,married,tertiary,no,16232,no,no,5,0.65,4,0,no,0,0,0,0
28,admin,married,secondary,no,9779,yes,yes,5,8.0,2,0,no,0,0,1,1
24,blue-collar,single,secondary,no,8594,yes,no,5,3.02,1,0,no,0,0,1,0
27,student,single,secondary,no,16173,yes,no,5,8.15,1,0,no,0,0,1,0
29,services,married,secondary,no,11417,yes,no,5,4.53,2,0,no,0,0,1,0
27,services,single,secondary,no,9636,yes,no,5,3.07,2,0,no,0,0,1,0
29,technician,single,secondary,no,22008,yes,no,5,2.32,2,0,no,0,0,1,0
28,admin,married,secondary,no,22171,yes,no,5,1.42,3,0,no,0,0,1,0
43,technician,single,secondary,no,11269,no,no,5,1.53,1,0,no,0,0,0,0
58,retired,married,secondary,no,32948,no,no,5,6.07,2,0,no,0,0,0,0
37,blue-collar,married,secondary,no,11953,yes,yes,5,3.47,1,0,no,0,0,1,1
44,blue-collar,married,other,no,15578,yes,no,5,6.68,1,0,no,0,0,1,0
44,technician,married,secondary,no,13761,yes,no,5,1.08,1,0,no,0,0,1,0
52,technician,married,secondary,no,22755,yes,no,5,1.17,2,0,no,0,0,1,0
51,blue-collar,divorced,other,no,10287,yes,no,5,1.95,1,0,no,0,0,1,0
28,blue-collar,married,primary,no,10045,yes,no,5,2.82,4,0,no,0,0,1,0
52,technician,married,other,no,9687,yes,no,5,15.6,1,0,no,0,0,1,0
26,technician,single,tertiary,no,8839,yes,no,5,15.53,3,0,no,0,0,1,0
42,management,married,tertiary,no,8794,yes,no,5,2.77,3,0,no,0,0,1,0
27,management,single,tertiary,no,12956,yes,no,5,13.15,3,0,yes,1,0,1,0
33,technician,married,tertiary,no,16992,yes,no,5,0.97,1,0,no,0,0,1,0
41,housemaid,divorced,tertiary,no,9767,yes,no,5,2.7,2,0,no,0,0,1,0
59,retired,married,secondary,no,9976,yes,no,5,0.95,2,0,no,0,0,1,0
50,technician,married,tertiary,no,11804,yes,no,5,1.38,1,0,no,0,0,1,0
50,management,married,tertiary,no,11528,yes,no,5,0.95,1,0,no,0,0,1,0
38,management,married,tertiary,no,12855,yes,no,5,6.95,1,0,no,0,0,1,0
46,management,divorced,tertiary,no,14481,yes,no,5,21.15,1,0,yes,1,0,1,0
55,management,married,secondary,no,11743,yes,no,5,1.25,1,0,no,0,0,1,0
43,admin,married,secondary,no,25741,yes,no,5,7.73,2,0,no,0,0,1,0
54,self-employed,married,secondary,no,12159,yes,no,5,3.05,2,0,no,0,0,1,0
47,technician,married,primary,no,12531,yes,no,5,14.8,3,0,no,0,0,1,0
57,technician,married,secondary,no,16063,yes,no,5,5.87,3,0,no,0,0,1,0
43,admin,divorced,secondary,no,15511,yes,no,6,8.07,1,0,no,0,0,1,0
49,entrepreneur,married,tertiary,no,18904,yes,no,6,1.88,3,0,no,0,0,1,0
34,blue-collar,married,secondary,no,8558,yes,no,6,7.77,2,0,no,0,0,1,0
52,management,married,tertiary,no,19797,yes,no,6,16.1,3,0,no,0,0,1,0
57,retired,married,secondary,no,12917,yes,no,6,1.52,3,0,no,0,0,1,0
33,management,single,tertiary,no,21096,yes,no,6,2.4,2,0,no,0,0,1,0
42,management,married,secondary,no,12282,yes,no,6,16.4,4,0,no,0,0,1,0
60,technician,divorced,secondary,no,11615,yes,no,6,1.17,10,0,no,0,0,1,0
34,blue-collar,single,secondary,no,13683,yes,no,6,1.92,3,0,no,0,0,1,0
49,management,divorced,tertiary,no,9326,yes,no,6,2.77,1,0,no,0,0,1,0
38,technician,single,secondary,no,12926,yes,no,6,4.67,1,0,no,0,0,1,0
36,blue-collar,married,secondary,no,16402,yes,no,6,6.77,3,0,no,0,0,1,0
32,management,single,tertiary,no,12686,yes,no,6,0.9,1,0,no,0,0,1,0
47,management,divorced,tertiary,no,17964,yes,no,6,2.75,2,0,no,0,0,1,0
43,technician,single,tertiary,no,27733,yes,no,6,2.73,7,0,no,0,0,1,0
44,technician,married,secondary,no,8938,yes,no,6,1.57,18,0,no,0,0,1,0
26,blue-collar,single,secondary,no,17891,yes,no,6,3.98,1,0,no,0,0,1,0
36,management,married,tertiary,no,27359,yes,no,6,1.18,2,0,no,0,0,1,0
51,technician,single,tertiary,no,11222,yes,no,6,2.52,7,0,no,0,0,1,0
23,blue-collar,single,primary,no,8627,yes,no,6,4.68,1,0,no,0,0,1,0
31,technician,divorced,secondary,no,10787,yes,no,6,2.25,2,0,no,0,0,1,0
30,other,single,primary,no,13052,no,no,6,2.33,1,0,no,0,0,0,0
30,management,single,tertiary,no,17036,yes,no,6,9.95,7,0,no,0,0,1,0
39,technician,married,secondary,no,9121,no,no,6,2.45,1,0,no,0,0,0,0
49,entrepreneur,married,tertiary,no,9824,no,no,6,1.15,1,0,no,0,0,0,0
60,retired,married,secondary,no,8590,no,no,6,1.42,1,0,no,0,0,0,0
52,housemaid,married,secondary,no,14363,no,no,6,2.2,1,0,no,0,0,0,0
50,management,married,tertiary,no,15442,no,no,6,1.52,1,0,no,0,0,0,0
60,retired,married,tertiary,no,9397,no,no,6,7.13,1,0,no,0,0,0,0
60,management,married,tertiary,no,13360,no,yes,6,4.4,1,0,no,0,0,0,1
54,entrepreneur,married,tertiary,no,11464,no,no,6,3.7,1,0,no,0,0,0,0
38,self-employed,married,other,no,10855,no,no,6,0.95,2,0,no,0,0,0,0
41,admin,married,secondary,no,21515,yes,no,6,1.45,1,0,no,0,0,1,0
59,blue-collar,married,primary,no,8562,no,no,6,1.43,2,0,no,0,0,0,0
39,blue-collar,married,primary,no,12848,yes,no,6,5.62,2,0,no,0,0,1,0
42,self-employed,married,tertiary,no,21861,no,no,6,8.1,2,0,no,0,0,0,0
51,management,married,tertiary,no,9796,no,yes,6,1.83,1,0,no,0,0,0,1
41,housemaid,divorced,primary,no,9059,no,no,6,1.88,1,0,no,0,0,0,0
60,retired,married,primary,no,22018,no,no,6,2.95,2,0,no,0,0,0,0
59,housemaid,divorced,secondary,no,45141,no,no,6,0.7,1,0,no,0,0,0,0
48,management,married,secondary,no,11146,no,no,6,2.27,1,0,no,0,0,0,0
59,self-employed,married,tertiary,no,10360,no,no,6,0.62,1,0,no,0,0,0,0
53,entrepreneur,married,other,no,19850,no,no,6,1.43,1,0,no,0,0,0,0
58,entrepreneur,married,primary,no,52499,no,no,6,3.3,2,0,no,0,0,0,0
60,housemaid,married,other,no,10285,no,no,6,2.9,2,0,no,0,0,0,0
44,technician,divorced,tertiary,no,9192,yes,no,6,0.98,3,0,no,0,0,1,0
51,management,married,tertiary,no,21574,no,no,6,3.28,3,0,no,0,0,0,0
53,management,married,other,no,12001,no,no,6,3.45,1,0,no,0,0,0,0
35,blue-collar,single,secondary,no,11671,no,no,6,3.17,1,0,no,0,0,0,0
36,self-employed,married,tertiary,no,16430,yes,no,6,3.28,3,0,no,0,0,1,0
45,blue-collar,married,secondary,no,22928,no,no,6,1.88,1,0,no,0,0,0,0
48,blue-collar,single,primary,no,10442,no,no,6,1.05,2,0,no,0,0,0,0
58,blue-collar,married,primary,no,9200,no,no,6,3.88,2,0,no,0,0,0,0
38,admin,married,secondary,no,9618,yes,no,6,3.57,1,0,no,0,0,1,0
41,blue-collar,married,primary,no,16431,no,no,6,2.32,1,0,no,0,0,0,0
39,blue-collar,married,tertiary,no,10483,no,no,6,3.63,1,0,no,0,0,0,0
35,housemaid,married,secondary,no,14000,no,no,6,2.02,2,0,no,0,0,0,0
44,technician,married,secondary,no,11016,no,no,6,4.2,3,0,no,0,0,0,0
42,self-employed,married,secondary,no,13242,no,no,6,2.48,1,0,no,0,0,0,0
55,management,married,secondary,no,8592,no,no,6,4.25,1,0,no,0,0,0,0
36,management,married,primary,no,22856,no,no,6,18.3,1,0,no,0,0,0,0
47,technician,married,secondary,no,10179,yes,no,6,2.98,2,0,no,0,0,1,0
46,admin,single,secondary,no,9326,no,yes,6,1.75,1,0,no,0,0,0,1
36,admin,single,secondary,no,13698,no,no,6,2.27,1,0,no,0,0,0,0
60,retired,married,primary,no,17413,no,no,6,3.33,1,0,no,0,0,0,0
46,blue-collar,married,primary,no,10333,yes,no,6,9.65,4,0,no,0,0,1,0
39,blue-collar,single,secondary,no,16917,no,no,6,2.15,6,0,no,0,0,0,0
48,services,married,secondary,no,11516,no,no,6,6.65,8,0,no,0,0,0,0
45,blue-collar,married,primary,no,13117,no,no,6,0.7,2,0,no,0,0,0,0
54,management,married,tertiary,no,16843,no,no,6,1.93,1,0,no,0,0,0,0
38,blue-collar,married,primary,no,8637,yes,no,6,1.98,1,0,no,0,0,1,0
51,technician,married,secondary,no,13089,no,no,6,4.12,1,0,no,0,0,0,0
55,retired,married,primary,no,8894,no,no,6,4.37,1,0,no,0,0,0,0
40,blue-collar,married,secondary,no,11084,no,no,6,1.88,1,0,no,0,0,0,0
36,unemployed,single,tertiary,no,9019,yes,no,6,15.87,3,0,no,0,0,1,0
42,blue-collar,married,other,no,8600,no,no,6,1.5,9,0,no,0,0,0,0
55,management,married,tertiary,no,10957,no,no,6,8.57,4,0,no,0,0,0,0
48,admin,married,secondary,no,13551,no,no,6,1.48,3,0,no,0,0,0,0
37,management,single,tertiary,no,8828,no,no,6,16.83,3,0,yes,1,0,0,0
27,admin,single,secondary,no,18188,yes,no,6,9.02,17,0,yes,1,0,1,0
38,management,divorced,tertiary,no,10638,no,no,6,2.65,2,0,no,0,0,0,0
39,unemployed,married,tertiary,no,11787,no,no,6,1.73,4,0,no,0,0,0,0
51,housemaid,married,primary,no,13292,no,no,6,20.63,2,0,no,0,0,0,0
60,management,married,primary,no,21292,no,no,6,4.03,6,0,no,0,0,0,0
58,services,married,secondary,no,12180,no,no,6,2.02,5,0,no,0,0,0,0
39,housemaid,married,primary,no,15352,no,no,6,1.65,1,0,no,0,0,0,0
37,admin,single,tertiary,no,12581,no,no,6,2.58,4,0,no,0,0,0,0
56,management,married,tertiary,no,21664,no,no,6,3.57,8,0,no,0,0,0,0
49,retired,single,primary,no,25824,no,no,6,1.57,1,0,no,0,0,0,0
38,management,married,tertiary,no,12877,no,no,6,1.97,3,0,no,0,0,0,0
56,entrepreneur,divorced,tertiary,no,22946,no,no,6,1.25,3,0,no,0,0,0,0
37,admin,married,secondary,no,10465,no,no,6,2.4,6,0,no,0,0,0,0
36,services,single,secondary,no,9231,no,no,6,4.5,3,0,no,0,0,0,0
37,blue-collar,married,secondary,no,10721,yes,no,6,6.57,3,0,no,0,0,1,0
37,management,married,tertiary,no,11265,no,no,6,6.95,1,0,no,0,0,0,0
41,management,single,tertiary,no,11008,no,no,6,25.67,1,0,yes,1,0,0,0
44,management,married,tertiary,no,17361,no,no,6,7.93,1,0,no,0,0,0,0
48,admin,married,secondary,no,17957,no,no,6,11.67,7,0,no,0,0,0,0
36,entrepreneur,married,tertiary,no,9405,no,no,6,4.95,3,0,no,0,0,0,0
38,self-employed,married,secondary,no,29125,no,no,6,5.22,2,0,no,0,0,0,0
37,blue-collar,single,primary,no,12130,yes,no,6,7.15,13,0,no,0,0,1,0
44,services,divorced,secondary,no,20541,no,yes,6,8.35,2,0,no,0,0,0,1
54,blue-collar,married,primary,no,10662,no,no,6,4.27,1,0,no,0,0,0,0
44,management,married,secondary,no,11972,no,no,6,2.12,1,0,no,0,0,0,0
55,unemployed,single,primary,no,10183,no,no,6,1.77,1,0,no,0,0,0,0
45,management,married,tertiary,no,9711,no,no,6,6.93,3,0,no,0,0,0,0
48,management,married,tertiary,no,13501,no,no,6,1.05,2,0,no,0,0,0,0
38,blue-collar,married,primary,no,15477,no,no,6,1.9,2,0,no,0,0,0,0
57,technician,married,secondary,no,9689,yes,no,6,5.22,1,0,no,0,0,1,0
41,technician,divorced,tertiary,no,24055,no,yes,6,2.2,1,0,no,0,0,0,1
44,blue-collar,single,primary,no,10984,no,no,6,4.3,18,0,no,0,0,0,0
57,admin,married,tertiary,no,9311,no,no,6,8.08,3,0,no,0,0,0,0
57,management,married,tertiary,no,9103,no,yes,6,18.3,2,0,yes,1,0,0,1
57,technician,married,tertiary,no,27069,no,yes,6,2.9,3,0,no,0,0,0,1
48,blue-collar,married,secondary,no,10724,no,no,6,3.97,3,0,no,0,0,0,0
47,admin,married,tertiary,no,12276,no,no,6,1.28,5,0,no,0,0,0,0
56,technician,married,other,no,9246,no,no,6,2.38,3,0,no,0,0,0,0
39,housemaid,married,other,no,9716,no,no,6,1.43,2,0,no,0,0,0,0
45,admin,married,secondary,no,14902,yes,no,6,0.52,6,0,no,0,0,1,0
40,management,married,tertiary,no,10786,no,no,6,1.85,3,0,no,0,0,0,0
60,self-employed,married,secondary,no,17339,no,no,6,0.83,11,0,no,0,0,0,0
35,admin,married,secondary,no,8652,yes,no,6,1.72,6,0,no,0,0,1,0
53,blue-collar,married,secondary,no,21522,no,no,6,2.43,4,0,no,0,0,0,0
50,blue-collar,married,primary,no,9301,yes,no,7,2.27,4,0,no,0,0,1,0
47,management,married,other,no,12245,no,no,7,18.38,3,0,no,0,0,0,0
59,blue-collar,married,secondary,no,13718,no,no,7,1.78,6,0,no,0,0,0,0
52,blue-collar,married,primary,no,9444,no,no,7,4.52,3,0,no,0,0,0,0
56,blue-collar,married,secondary,no,58932,no,no,7,5.65,2,0,no,0,0,0,0
45,technician,divorced,secondary,no,12389,no,yes,7,11.85,1,0,no,0,0,0,1
56,entrepreneur,married,tertiary,no,51439,no,yes,7,5.42,1,0,no,0,0,0,1
49,admin,married,secondary,no,13229,no,yes,7,1.28,2,0,no,0,0,0,1
60,blue-collar,married,secondary,no,19447,yes,no,7,3.27,1,0,no,0,0,1,0
30,technician,single,secondary,no,10152,yes,no,7,4.43,1,0,no,0,0,1,0
36,admin,single,secondary,no,9002,yes,yes,7,13.22,1,0,no,0,0,1,1
37,management,married,tertiary,no,15437,yes,no,7,2.05,1,0,no,0,0,1,0
58,self-employed,married,secondary,no,9994,no,no,7,6.67,1,0,no,0,0,0,0
33,admin,married,secondary,no,13160,no,no,7,3.53,1,0,no,0,0,0,0
41,technician,married,secondary,no,10438,yes,no,7,2.35,4,0,no,0,0,1,0
31,management,single,tertiary,no,38279,no,no,7,3.75,2,0,no,0,0,0,0
37,housemaid,married,secondary,no,12939,yes,yes,7,0.65,9,0,no,0,0,1,1
55,entrepreneur,married,tertiary,no,12731,yes,no,7,2.65,6,0,no,0,0,1,0
38,blue-collar,single,tertiary,no,14058,no,no,7,4.88,20,0,no,0,0,0,0
32,management,married,secondary,no,14611,yes,no,7,1.12,1,0,no,0,0,1,0
26,self-employed,married,tertiary,no,10005,yes,no,7,1.4,2,0,no,0,0,1,0
38,services,married,other,no,10189,yes,no,7,8.03,2,0,no,0,0,1,0
51,housemaid,divorced,secondary,no,9228,no,no,7,10.92,4,0,yes,1,0,0,0
38,management,single,tertiary,no,21963,no,no,7,1.17,2,0,no,0,0,0,0
